"Brand List","Brand List",module,Amasty_ShopbyBrand
"List of your brand attribute options. Links lead to Brand Pages.","List of your brand attribute options. Links lead to Brand Pages.",module,Amasty_ShopbyBrand
"Number of Columns","Number of Columns",module,Amasty_ShopbyBrand
Template,Template,module,Amasty_ShopbyBrand
Index,Index,module,Amasty_ShopbyBrand
"Brand Slider/","Brand Slider/",module,Amasty_ShopbyBrand
"Slider Max Width.","Slider Max Width.",module,Amasty_ShopbyBrand
"Leave blank to use the value from the configuration.","Leave blank to use the value from the configuration.",module,Amasty_ShopbyBrand
"Image Width","Image Width",module,Amasty_ShopbyBrand
Slider,Slider,module,Amasty_ShopbyBrand
"Store View","Store View",module,Amasty_ShopbyBrand
"Add to the slider","Add to the slider",module,Amasty_ShopbyBrand
"Remove from the slider","Remove from the slider",module,Amasty_ShopbyBrand
"Slider Image","Slider Image",module,Amasty_ShopbyBrand
"Show in Slider","Show in Slider",module,Amasty_ShopbyBrand
"URL alias","URL alias",module,Amasty_ShopbyBrand
